Format Version,1.23,Take Name,jon non dominant dragg thin,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-03-05 11.38.49.258 AM,Capture Start Frame,530195,Total Frames in Take,528,Total Exported Frames,528,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1168,Unlabeled 1168,Unlabeled 1168,Unlabeled 1169,Unlabeled 1169,Unlabeled 1169,Unlabeled 1170,Unlabeled 1170,Unlabeled 1170
,ID,"FB860","FB860","FB860","FC800","FC800","FC800","FC830","FC830","FC830"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.143525,0.004891,0.021302,0.095929,0.021234,0.031065,-0.002313,0.032692,-0.004810
1,0.008333,0.143517,0.004890,0.021327,0.095915,0.021220,0.031072,-0.002322,0.032691,-0.004808
2,0.016667,0.143518,0.004892,0.021316,0.095911,0.021220,0.031052,-0.002322,0.032696,-0.004810
3,0.025000,0.143516,0.004893,0.021318,0.095913,0.021226,0.031060,-0.002326,0.032696,-0.004819
4,0.033333,0.143523,0.004891,0.021307,0.095924,0.021245,0.031060,-0.002322,0.032700,-0.004823
5,0.041667,0.143525,0.004894,0.021302,0.095935,0.021270,0.031059,-0.002318,0.032699,-0.004810
6,0.050000,0.143528,0.004893,0.021306,0.095942,0.021279,0.031077,-0.002313,0.032696,-0.004787
7,0.058333,0.143529,0.004889,0.021307,0.095946,0.021278,0.031093,-0.002319,0.032679,-0.004790
8,0.066667,0.143527,0.004886,0.021309,0.095947,0.021275,0.031098,-0.002323,0.032668,-0.004770
9,0.075000,0.143527,0.004891,0.021317,0.095945,0.021281,0.031109,-0.002329,0.032658,-0.004764
10,0.083333,0.143525,0.004893,0.021313,0.095942,0.021285,0.031109,-0.002335,0.032652,-0.004762
11,0.091667,0.143522,0.004895,0.021313,0.095937,0.021283,0.031114,-0.002338,0.032656,-0.004764
12,0.100000,0.143518,0.004897,0.021323,0.095932,0.021280,0.031102,-0.002343,0.032660,-0.004774
13,0.108333,0.143518,0.004893,0.021311,0.095928,0.021275,0.031089,-0.002343,0.032666,-0.004781
14,0.116667,0.143514,0.004889,0.021316,0.095925,0.021272,0.031089,-0.002340,0.032671,-0.004773
15,0.125000,0.143516,0.004889,0.021315,0.095924,0.021255,0.031083,-0.002341,0.032671,-0.004774
16,0.133333,0.143512,0.004888,0.021321,0.095918,0.021239,0.031081,-0.002338,0.032666,-0.004768
17,0.141667,0.143515,0.004888,0.021317,0.095911,0.021233,0.031088,-0.002342,0.032658,-0.004776
18,0.150000,0.143512,0.004891,0.021318,0.095907,0.021228,0.031087,-0.002348,0.032653,-0.004778
19,0.158333,0.143509,0.004887,0.021322,0.095900,0.021226,0.031088,-0.002351,0.032648,-0.004774
20,0.166667,0.143509,0.004884,0.021319,0.095899,0.021224,0.031077,-0.002359,0.032653,-0.004744
21,0.175000,0.143512,0.004886,0.021322,0.095898,0.021225,0.031069,-0.002374,0.032652,-0.004777
22,0.183333,0.143511,0.004886,0.021325,0.095896,0.021231,0.031074,-0.002362,0.032659,-0.004739
23,0.191667,0.143514,0.004887,0.021317,0.095901,0.021241,0.031076,-0.002354,0.032661,-0.004732
24,0.200000,0.143518,0.004888,0.021312,0.095900,0.021255,0.031075,-0.002350,0.032671,-0.004774
25,0.208333,0.143519,0.004890,0.021309,0.095905,0.021263,0.031085,-0.002342,0.032681,-0.004773
26,0.216667,0.143516,0.004880,0.021322,0.095895,0.021268,0.031092,-0.002340,0.032708,-0.004797
27,0.225000,0.143498,0.004843,0.021373,0.095860,0.021248,0.031110,-0.002344,0.032743,-0.004830
28,0.233333,0.143414,0.004771,0.021556,0.095774,0.021204,0.031185,-0.002379,0.032820,-0.004894
29,0.241667,0.143262,0.004660,0.021876,0.095608,0.021121,0.031349,-0.002426,0.032908,-0.005006
30,0.250000,0.143031,0.004490,0.022231,0.095380,0.020951,0.031486,-0.002480,0.033035,-0.005085
31,0.258333,0.142663,0.004206,0.022706,0.094983,0.020765,0.031874,-0.002549,0.033154,-0.005235
32,0.266667,0.142012,0.003739,0.023569,0.094374,0.020526,0.032293,-0.002660,0.033346,-0.005458
33,0.275000,0.141103,0.003145,0.024912,0.093566,0.020189,0.033022,-0.002810,0.033605,-0.005761
34,0.283333,0.139959,0.002364,0.026325,0.092545,0.019827,0.033843,-0.002974,0.033909,-0.006201
35,0.291667,0.138498,0.001421,0.028145,0.091310,0.019450,0.034880,-0.003164,0.034241,-0.006684
36,0.300000,0.136786,0.000406,0.030005,0.089933,0.019001,0.036065,-0.003412,0.034636,-0.007237
37,0.308333,0.134812,-0.000664,0.032087,0.088320,0.018584,0.037291,-0.003633,0.035067,-0.007833
38,0.316667,0.132412,-0.001910,0.034283,0.086411,0.018229,0.038719,-0.003912,0.035630,-0.008624
39,0.325000,0.129622,-0.003283,0.036568,0.084197,0.017829,0.040094,-0.004263,0.036285,-0.009620
40,0.333333,0.126463,-0.004736,0.039025,0.081601,0.017429,0.041497,-0.004586,0.037060,-0.010650
41,0.341667,0.122749,-0.006337,0.041817,0.078592,0.017026,0.042906,-0.004917,0.037963,-0.011869
42,0.350000,0.118392,-0.008032,0.044702,0.075046,0.016649,0.044342,-0.005224,0.038995,-0.013137
43,0.358333,0.113461,-0.009860,0.047743,0.071085,0.016228,0.045698,-0.005563,0.040039,-0.014538
44,0.366667,0.108197,-0.011651,0.050766,0.066877,0.015721,0.047059,-0.005922,0.040911,-0.015672
45,0.375000,0.102622,-0.013337,0.053749,0.062409,0.015277,0.048402,-0.006202,0.041636,-0.016576
46,0.383333,0.096756,-0.014841,0.056990,0.057702,0.014823,0.049497,-0.006477,0.042373,-0.017372
47,0.391667,0.090838,-0.016189,0.059953,0.053016,0.014488,0.050414,-0.006827,0.043024,-0.018126
48,0.400000,0.085158,-0.017414,0.062813,0.048585,0.014160,0.051357,-0.007119,0.043615,-0.018520
49,0.408333,0.080015,-0.018675,0.065003,0.044653,0.013757,0.052073,-0.007404,0.044088,-0.018664
50,0.416667,0.075648,-0.019932,0.066672,0.041352,0.013200,0.052561,-0.007707,0.044396,-0.018717
51,0.425000,0.072257,-0.021145,0.067727,0.038805,0.012532,0.052936,-0.007912,0.044581,-0.018705
52,0.433333,0.070102,-0.022131,0.068326,0.037204,0.011858,0.053009,-0.007997,0.044695,-0.018621
53,0.441667,0.069360,-0.022767,0.068435,0.036624,0.011304,0.052894,-0.007939,0.044681,-0.018531
54,0.450000,0.069979,-0.022888,0.068301,0.036967,0.010987,0.052729,-0.007720,0.044589,-0.018452
55,0.458333,0.071502,-0.022498,0.068091,0.037984,0.011099,0.052470,-0.007375,0.044459,-0.018482
56,0.466667,0.073506,-0.021642,0.067971,0.039501,0.011596,0.052365,-0.007024,0.044324,-0.018378
57,0.475000,0.076140,-0.020559,0.067645,0.041445,0.012104,0.052157,-0.006654,0.044056,-0.018228
58,0.483333,0.079313,-0.019441,0.067300,0.043671,0.012440,0.051956,-0.006321,0.043707,-0.017877
59,0.491667,0.082740,-0.018704,0.066426,0.046124,0.012463,0.051666,-0.006069,0.043198,-0.017557
60,0.500000,0.086382,-0.018347,0.065257,0.048775,0.012125,0.051445,-0.005808,0.042530,-0.016915
61,0.508333,0.090227,-0.018307,0.063622,0.051586,0.011507,0.051144,-0.005622,0.041730,-0.016248
62,0.516667,0.093976,-0.018140,0.062190,0.054378,0.010806,0.050935,-0.005473,0.040837,-0.015347
63,0.525000,0.097154,-0.017308,0.061254,0.056899,0.010857,0.050989,-0.005382,0.039964,-0.014601
64,0.533333,0.100072,-0.016484,0.060149,0.059312,0.011380,0.051022,-0.005382,0.039362,-0.013664
65,0.541667,0.103197,-0.015576,0.058874,0.061891,0.011499,0.050934,-0.005444,0.038709,-0.012808
66,0.550000,0.106402,-0.014672,0.057312,0.064525,0.011746,0.050500,-0.005453,0.037975,-0.011896
67,0.558333,0.109687,-0.013572,0.055613,0.067208,0.012160,0.050013,-0.005470,0.037304,-0.011092
68,0.566667,0.113011,-0.012382,0.053492,0.069909,0.012614,0.049169,-0.005462,0.036617,-0.010311
69,0.575000,0.116386,-0.011052,0.051186,0.072605,0.013045,0.048133,-0.005365,0.035872,-0.009504
70,0.583333,0.119691,-0.009630,0.048535,0.075208,0.013466,0.046907,-0.005224,0.035138,-0.008847
71,0.591667,0.122789,-0.008117,0.045980,0.077679,0.014003,0.045588,-0.005040,0.034433,-0.008276
72,0.600000,0.125712,-0.006556,0.043132,0.080006,0.014579,0.044131,-0.004796,0.033851,-0.007610
73,0.608333,0.128289,-0.005075,0.040338,0.082082,0.015132,0.042621,-0.004571,0.033351,-0.007268
74,0.616667,0.130279,-0.003768,0.037833,0.083737,0.015743,0.041216,-0.004369,0.032986,-0.007173
75,0.625000,0.131758,-0.002685,0.035798,0.085090,0.016420,0.040001,-0.004200,0.032882,-0.007196
76,0.633333,0.132875,-0.001818,0.034014,0.086073,0.017061,0.039050,-0.004107,0.032945,-0.007238
77,0.641667,0.133509,-0.001263,0.032835,0.086623,0.017594,0.038294,-0.004080,0.033086,-0.007386
78,0.650000,0.133600,-0.001039,0.032440,0.086727,0.017966,0.037933,-0.004123,0.033316,-0.007575
79,0.658333,0.133314,-0.001095,0.032589,0.086494,0.018091,0.037948,-0.004256,0.033561,-0.007855
80,0.666667,0.132819,-0.001359,0.033113,0.086021,0.017839,0.038184,-0.004412,0.033621,-0.007966
81,0.675000,0.132191,-0.001748,0.033867,0.085410,0.017424,0.038534,-0.004582,0.033505,-0.007967
82,0.683333,0.131659,-0.002089,0.034720,0.084847,0.016839,0.038886,-0.004842,0.033333,-0.007986
83,0.691667,0.131203,-0.002398,0.035452,0.084344,0.016295,0.039326,-0.005073,0.033092,-0.007861
84,0.700000,0.130576,-0.002750,0.036150,0.083632,0.015850,0.039775,-0.005312,0.032954,-0.007895
85,0.708333,0.129527,-0.003339,0.037225,0.082626,0.015345,0.040264,-0.005591,0.033080,-0.008116
86,0.716667,0.127953,-0.004178,0.038940,0.081167,0.014699,0.040848,-0.005854,0.033351,-0.008597
87,0.725000,0.125829,-0.005202,0.040972,0.079268,0.013941,0.041686,-0.006117,0.033778,-0.009220
88,0.733333,0.123420,-0.006385,0.043195,0.077088,0.013128,0.042586,-0.006395,0.034288,-0.009873
89,0.741667,0.120675,-0.007665,0.045547,0.074572,0.012255,0.043472,-0.006628,0.034803,-0.010688
90,0.750000,0.117316,-0.009186,0.048247,0.071684,0.011505,0.044421,-0.006830,0.035474,-0.011545
91,0.758333,0.113326,-0.010846,0.051178,0.068390,0.010820,0.045570,-0.007063,0.036274,-0.012375
92,0.766667,0.108828,-0.012571,0.054114,0.064719,0.010188,0.046717,-0.007271,0.037064,-0.013138
93,0.775000,0.103855,-0.014427,0.057108,0.060752,0.009541,0.047795,-0.007504,0.037803,-0.013904
94,0.783333,0.098591,-0.016306,0.059928,0.056676,0.008993,0.048972,-0.007799,0.038434,-0.014641
95,0.791667,0.093402,-0.018024,0.062592,0.052732,0.008437,0.049994,-0.008108,0.038990,-0.015032
96,0.800000,0.088671,-0.019571,0.064851,0.049174,0.007911,0.050872,-0.008435,0.039454,-0.015288
97,0.808333,0.084770,-0.020804,0.066699,0.046312,0.007528,0.051646,-0.008731,0.039787,-0.015536
98,0.816667,0.081974,-0.021687,0.067945,0.044270,0.007237,0.052136,-0.008914,0.040015,-0.015392
99,0.825000,0.080405,-0.022182,0.068601,0.043146,0.007109,0.052578,-0.009003,0.040153,-0.015355
100,0.833333,0.080161,-0.022291,0.068771,0.042992,0.007039,0.052650,-0.008965,0.040190,-0.015274
101,0.841667,0.080884,-0.022133,0.068499,0.043590,0.007201,0.052510,-0.008790,0.040163,-0.015309
102,0.850000,0.082390,-0.021712,0.067974,0.044821,0.007709,0.052414,-0.008560,0.040138,-0.015371
103,0.858333,0.084754,-0.021055,0.067179,0.046587,0.008111,0.052037,-0.008222,0.040034,-0.015130
104,0.866667,0.087712,-0.020259,0.066092,0.048755,0.008477,0.051739,-0.007918,0.039782,-0.015063
105,0.875000,0.090961,-0.019354,0.064905,0.051183,0.008797,0.051254,-0.007640,0.039447,-0.014804
106,0.883333,0.094381,-0.018386,0.063534,0.053792,0.009197,0.050866,-0.007373,0.039052,-0.014477
107,0.891667,0.097940,-0.017331,0.061992,0.056590,0.009614,0.050429,-0.007136,0.038611,-0.013895
108,0.900000,0.101559,-0.016218,0.060306,0.059470,0.010122,0.049972,-0.006925,0.038112,-0.013251
109,0.908333,0.105247,-0.015055,0.058347,0.062467,0.010664,0.049468,-0.006761,0.037559,-0.012578
110,0.916667,0.108894,-0.013794,0.056313,0.065477,0.011246,0.048817,-0.006550,0.037031,-0.011764
111,0.925000,0.112579,-0.012431,0.054125,0.068571,0.011938,0.047925,-0.006354,0.036475,-0.010877
112,0.933333,0.116392,-0.010966,0.051468,0.071743,0.012708,0.046924,-0.006110,0.035901,-0.010142
113,0.941667,0.120184,-0.009337,0.048594,0.074877,0.013438,0.045618,-0.005787,0.035355,-0.009301
114,0.950000,0.123922,-0.007600,0.045380,0.077942,0.014208,0.044031,-0.005417,0.034746,-0.008538
115,0.958333,0.127499,-0.005730,0.042147,0.080900,0.015014,0.042336,-0.005006,0.034120,-0.007917
116,0.966667,0.130900,-0.003839,0.038575,0.083735,0.015818,0.040451,-0.004542,0.033597,-0.007143
117,0.975000,0.133985,-0.001954,0.035047,0.086389,0.016723,0.038528,-0.004124,0.033142,-0.006670
118,0.983333,0.136645,-0.000178,0.031561,0.088742,0.017724,0.036705,-0.003658,0.032787,-0.006255
119,0.991667,0.138722,0.001385,0.028393,0.090709,0.018721,0.034971,-0.003251,0.032576,-0.006008
120,1.000000,0.140224,0.002652,0.025898,0.092254,0.019700,0.033509,-0.002894,0.032524,-0.005872
121,1.008333,0.141386,0.003638,0.023773,0.093413,0.020485,0.032222,-0.002634,0.032609,-0.005860
122,1.016667,0.142148,0.004360,0.022341,0.094224,0.021089,0.031274,-0.002459,0.032739,-0.005894
123,1.025000,0.142575,0.004761,0.021448,0.094662,0.021520,0.030792,-0.002399,0.032870,-0.005985
124,1.033333,0.142669,0.004860,0.021193,0.094771,0.021682,0.030638,-0.002421,0.032972,-0.006005
125,1.041667,0.142556,0.004769,0.021405,0.094640,0.021544,0.030756,-0.002520,0.032967,-0.006077
126,1.050000,0.142222,0.004528,0.022056,0.094249,0.021071,0.031068,-0.002663,0.032880,-0.006096
127,1.058333,0.141605,0.004041,0.023081,0.093563,0.020476,0.031693,-0.002859,0.032768,-0.006163
128,1.066667,0.140609,0.003304,0.024617,0.092527,0.019805,0.032569,-0.003155,0.032797,-0.006442
129,1.075000,0.139195,0.002257,0.026602,0.091086,0.019026,0.033654,-0.003479,0.032970,-0.006864
130,1.083333,0.137305,0.000960,0.029240,0.089273,0.018165,0.034967,-0.003828,0.033248,-0.007479
131,1.091667,0.134991,-0.000547,0.032136,0.087046,0.017214,0.036441,-0.004155,0.033585,-0.008192
132,1.100000,0.131989,-0.002322,0.035691,0.084340,0.016217,0.038210,-0.004494,0.034036,-0.008968
133,1.108333,0.128386,-0.004343,0.039474,0.081185,0.015137,0.040091,-0.004895,0.034589,-0.009869
134,1.116667,0.124260,-0.006459,0.043424,0.077598,0.013961,0.041978,-0.005299,0.035160,-0.010770
135,1.125000,0.119621,-0.008674,0.047481,0.073705,0.012827,0.043915,-0.005725,0.035756,-0.011618
136,1.133333,0.114623,-0.010898,0.051305,0.069605,0.011786,0.045611,-0.006151,0.036416,-0.012420
137,1.141667,0.109419,-0.013016,0.054888,0.065446,0.010885,0.047152,-0.006559,0.037103,-0.013086
138,1.150000,0.104269,-0.014953,0.058113,0.061331,0.010128,0.048516,-0.006991,0.037714,-0.013768
139,1.158333,0.099257,-0.016699,0.060872,0.057430,0.009452,0.049688,-0.007349,0.038284,-0.014279
140,1.166667,0.094561,-0.018223,0.063249,0.053803,0.008928,0.050576,-0.007648,0.038858,-0.014787
141,1.175000,0.090293,-0.019514,0.065111,0.050580,0.008541,0.051282,-0.007910,0.039382,-0.015196
142,1.183333,0.086741,-0.020557,0.066464,0.047990,0.008272,0.051774,-0.008102,0.039872,-0.015424
143,1.191667,0.084194,-0.021237,0.067378,0.046162,0.008159,0.052130,-0.008204,0.040260,-0.015700
144,1.200000,0.082716,-0.021607,0.067844,0.045088,0.008155,0.052145,-0.008196,0.040540,-0.015857
145,1.208333,0.082194,-0.021712,0.067813,0.044755,0.008258,0.052188,-0.008089,0.040693,-0.016062
146,1.216667,0.082593,-0.021513,0.067664,0.045091,0.008459,0.052023,-0.007886,0.040792,-0.016124
147,1.225000,0.083848,-0.021053,0.067218,0.046097,0.008861,0.052028,-0.007628,0.040824,-0.016060
148,1.233333,0.086007,-0.020249,0.066703,0.047802,0.009353,0.051940,-0.007334,0.040685,-0.015871
149,1.241667,0.088997,-0.019187,0.065960,0.050041,0.009839,0.051833,-0.007044,0.040376,-0.015480
150,1.250000,0.092593,-0.018026,0.064916,0.052819,0.010317,0.051535,-0.006754,0.039975,-0.014901
151,1.258333,0.096752,-0.016923,0.063275,0.056091,0.010788,0.051258,-0.006473,0.039424,-0.014126
152,1.266667,0.101423,-0.015826,0.061072,0.059780,0.011138,0.050706,-0.006171,0.038719,-0.013282
153,1.275000,0.106316,-0.014725,0.058410,0.063655,0.011451,0.049886,-0.005826,0.037934,-0.012285
154,1.283333,0.110927,-0.013364,0.055531,0.067351,0.011737,0.049003,-0.005450,0.037126,-0.011363
155,1.291667,0.114775,-0.011878,0.053032,0.070602,0.012599,0.048091,-0.005069,0.036451,-0.010654
156,1.300000,0.117978,-0.010505,0.050549,0.073375,0.013495,0.047059,-0.004732,0.036049,-0.010039
157,1.308333,0.120792,-0.009268,0.048269,0.075802,0.014083,0.046009,-0.004465,0.035733,-0.009638
158,1.316667,0.123293,-0.008135,0.046159,0.077905,0.014654,0.044952,-0.004202,0.035318,-0.009217
159,1.325000,0.125475,-0.007062,0.044259,0.079789,0.015193,0.043918,-0.003961,0.035001,-0.008739
160,1.333333,0.127470,-0.006114,0.042483,0.081484,0.015662,0.043071,-0.003805,0.034697,-0.008274
161,1.341667,0.129290,-0.005173,0.040792,0.083037,0.016003,0.042287,-0.003665,0.034312,-0.007673
162,1.350000,0.130916,-0.004325,0.039290,0.084398,0.016281,0.041444,-0.003540,0.033919,-0.007188
163,1.358333,0.132372,-0.003526,0.037843,0.085642,0.016526,0.040721,-0.003475,0.033548,-0.006761
164,1.366667,0.133666,-0.002781,0.036457,0.086691,0.016719,0.039978,-0.003416,0.033169,-0.006347
165,1.375000,0.134495,-0.002218,0.035387,0.087402,0.016844,0.039408,-0.003386,0.032885,-0.006215
166,1.383333,0.134826,-0.001916,0.034806,0.087715,0.017021,0.039101,-0.003417,0.032844,-0.006226
167,1.391667,0.134826,-0.001867,0.034675,0.087632,0.017102,0.038983,-0.003507,0.033072,-0.006324
168,1.400000,0.134467,-0.001996,0.034880,0.087232,0.017012,0.038913,-0.003670,0.033417,-0.006647
169,1.408333,0.133696,-0.002359,0.035675,0.086513,0.016804,0.039233,-0.003797,0.033770,-0.007081
170,1.416667,0.132473,-0.002999,0.036875,0.085384,0.016471,0.039709,-0.003919,0.034176,-0.007650
